哈TV,#genre#

公用頻道,http://lifei555.tk/hads.php?id=3
地方新聞,http://lifei555.tk/hads.php?id=4
民視(HD),http://lifei555.tk/hads.php?id=5
CNN International,http://lifei555.tk/hads.php?id=6
台視（HD）,http://lifei555.tk/hads.php?id=7
人間衛視（HD）,http://lifei555.tk/hads.php?id=8
中視(HD),http://lifei555.tk/hads.php?id=9
大愛(HD),http://lifei555.tk/hads.php?id=10
華視(HD),http://lifei555.tk/hads.php?id=11
動物星球(HD),http://lifei555.tk/hads.php?id=12
公視(HD),http://lifei555.tk/hads.php?id=13
公視台語台(HD),http://lifei555.tk/hads.php?id=14
好消息衛星電視台(HD),http://lifei555.tk/hads.php?id=15
原住民頻道(HD),http://lifei555.tk/hads.php?id=16
客家電視(HD),http://lifei555.tk/hads.php?id=17
國家地理頻道(HD),http://lifei555.tk/hads.php?id=18
DISCOVERY(HD),http://lifei555.tk/hads.php?id=19
中台灣生活網(HD),http://lifei555.tk/hads.php?id=20
旅遊生活(HD),http://lifei555.tk/hads.php?id=21
CN卡通頻道(HD),http://lifei555.tk/hads.php?id=22
Boomerang(HD),http://lifei555.tk/hads.php?id=23
MOMO親子台(HD),http://lifei555.tk/hads.php?id=24
東森幼幼台(HD),http://lifei555.tk/hads.php?id=25
緯來綜合台(HD),http://lifei555.tk/hads.php?id=26
八大第一台(HD),http://lifei555.tk/hads.php?id=27
八大綜合台(HD),http://lifei555.tk/hads.php?id=28
三立台灣台(HD),http://lifei555.tk/hads.php?id=29
三立都會台(HD),http://lifei555.tk/hads.php?id=30
衛視中文台(HD),http://lifei555.tk/hads.php?id=31
東森綜合台(HD),http://lifei555.tk/hads.php?id=32
超視(HD),http://lifei555.tk/hads.php?id=33
東森購物2台(HD),http://lifei555.tk/hads.php?id=34
MOMO2台,http://lifei555.tk/hads.php?id=35
中天綜合台(HD),http://lifei555.tk/hads.php?id=36
東風衛視台(HD),http://lifei555.tk/hads.php?id=37
MUCH(HD),http://lifei555.tk/hads.php?id=38
地方采風,http://lifei555.tk/hads.php?id=39
東森戲劇台(HD),http://lifei555.tk/hads.php?id=40
八大戲劇台(HD),http://lifei555.tk/hads.php?id=41
TVBS歡樂台(HD),http://lifei555.tk/hads.php?id=42
緯來戲劇台(HD),http://lifei555.tk/hads.php?id=43
高點電視台(HD),http://lifei555.tk/hads.php?id=44
JET綜合台(HD),http://lifei555.tk/hads.php?id=45
東森購物3台,http://lifei555.tk/hads.php?id=46
東森購物1台,http://lifei555.tk/hads.php?id=47
MOMO1台,http://lifei555.tk/hads.php?id=48
壹電視新聞(HD),http://lifei555.tk/hads.php?id=49
年代新聞(HD),http://lifei555.tk/hads.php?id=50
東森新聞(HD),http://lifei555.tk/hads.php?id=51
華視新聞資訊台(HD),http://lifei555.tk/hads.php?id=52
民視新聞台(HD),http://lifei555.tk/hads.php?id=53
三立新聞台(HD),http://lifei555.tk/hads.php?id=54
TVBS新聞(HD),http://lifei555.tk/hads.php?id=55
TVBS(HD),http://lifei555.tk/hads.php?id=56
東森財經新聞(HD),http://lifei555.tk/hads.php?id=57
非凡新聞台(HD),http://lifei555.tk/hads.php?id=58
VIVA1台,http://lifei555.tk/hads.php?id=59
東森購物5台,http://lifei555.tk/hads.php?id=60
衛視電影台(HD),http://lifei555.tk/hads.php?id=61
東森電影台(HD),http://lifei555.tk/hads.php?id=62
緯來電影台(HD),http://lifei555.tk/hads.php?id=63
冠軍電視台(HD),http://lifei555.tk/hads.php?id=64
HBO(HD),http://lifei555.tk/hads.php?id=65
東森洋片台(HD),http://lifei555.tk/hads.php?id=66
中天娛樂台(HD),http://lifei555.tk/hads.php?id=67
好萊塢電影台(HD),http://lifei555.tk/hads.php?id=68
STAR Movies Gold(HD),http://lifei555.tk/hads.php?id=69
美麗人生購物台(HD),http://lifei555.tk/hads.php?id=70
CINEMAX(HD),http://lifei555.tk/hads.php?id=71
緯來體育台(HD),http://lifei555.tk/hads.php?id=72
ELEVEN SPORTS 1,http://lifei555.tk/hads.php?id=73
ELEVEN SPORTS 2,http://lifei555.tk/hads.php?id=74
MOMO綜合台(HD),http://lifei555.tk/hads.php?id=75
博斯運動一台,http://lifei555.tk/hads.php?id=76
海豚綜合台(HD),http://lifei555.tk/hads.php?id=77
民俗才藝,http://lifei555.tk/hads.php?id=78
緯來日本台(HD),http://lifei555.tk/hads.php?id=79
國興衛視(HD),http://lifei555.tk/hads.php?id=80
冠軍夢想台(HD),http://lifei555.tk/hads.php?id=81
信吉電視台(HD),http://lifei555.tk/hads.php?id=82
生活資訊(HD),http://lifei555.tk/hads.php?id=83
AXN(HD),http://lifei555.tk/hads.php?id=84
寰宇新聞台,http://lifei555.tk/hads.php?id=85
信大電視台(HD),http://lifei555.tk/hads.php?id=86
緯來育樂台(HD),http://lifei555.tk/hads.php?id=87
三立財經新聞台(HD),http://lifei555.tk/hads.php?id=88
雙子衛視(HD),http://lifei555.tk/hads.php?id=89
靖天購物一台(HD),http://lifei555.tk/hads.php?id=90
台灣綜合台(HD),http://lifei555.tk/hads.php?id=91
LS TIME電影台(HD),http://lifei555.tk/hads.php?id=92
全球財經網頻道(HD),http://lifei555.tk/hads.php?id=93
誠心電視台(HD),http://lifei555.tk/hads.php?id=94
非凡商業台(HD),http://lifei555.tk/hads.php?id=95
台灣藝術台(HD),http://lifei555.tk/hads.php?id=96
運通財經,http://lifei555.tk/hads.php?id=97
Z頻道(HD),http://lifei555.tk/hads.php?id=98
霹靂台灣台(HD),http://lifei555.tk/hads.php?id=99
MTV綜合電視台(HD),http://lifei555.tk/hads.php?id=100
STAR World(HD),http://lifei555.tk/hads.php?id=101
十方法界電視台(HD),http://lifei555.tk/hads.php?id=102
